x,count
1947,808
1948,808
1949,808
1950,315
1951,315
1952,315
1953,315
1954,315
1955,48
1956,48
1957,48
1958,48
1959,48
1960,48
1961,48
1962,48
1963,315
1964,315
1965,315
1966,315
1967,315
1968,132
1969,132
1970,132
1971,132
1972,132
1973,132
1974,156
1975,156
1976,156
1977,156
1978,156
1979,156
1980,808
1981,808
1982,808
1983,808
1984,808
1985,808
1986,808
1987,808
1988,156
1989,156
1990,156
1991,156
1992,156
1993,156
1994,12
1995,12
1996,12
1997,12
1998,12
1999,12
2000,16
2001,16
2002,16
2003,16
2004,16
2005,16
2006,16
2007,16
2008,248
2009,248
2010,248
2011,248
2012,20
2013,20
2014,20
2015,20
2016,20
2017,808
2018,808
2019,808
2020,808
2021,80
2022,80
2023,80
2024,80
2025,315
2026,315
2027,315
2028,315
2029,315
2030,808
2031,808
2032,808
2033,808
2034,248
2035,248
2036,248
2037,248
2038,808
2039,808
2040,808
2041,808
2042,10
2043,10
2044,10
2045,10
2046,10
2047,12
2048,12
2049,12
2050,12
2051,12
2052,12
2053,5
2054,5
2055,5
2056,5
2057,5
2058,808
2059,808
2060,808
2061,808
2062,7
2063,7
2064,7
2065,7
2066,7
2067,7
2068,7
2069,290
2070,290
2071,290
2072,290
2073,290
2074,808
2075,808
2076,808
2077,808
2078,248
2079,248
2080,248
2081,248
2082,8
2083,8
2084,8
2085,8
2086,8
2087,8
2088,8
2089,8
2090,85
2091,85
2092,85
2093,85
2094,85
2095,108
2096,108
2097,108
2098,108
2099,108
2100,108
2101,16
2102,16
2103,16
2104,16
2105,290
2106,290
2107,290
2108,290
2109,290
2110,8
2111,8
2112,8
2113,8
2114,315
2115,315
2116,315
2117,315
2118,315
2119,132
2120,132
2121,132
2122,132
2123,132
2124,132
2125,315
2126,315
2127,315
2128,315
2129,315
2130,315
2131,315
2132,315
2133,315
2134,315
2135,315
2136,315
2137,315
2138,315
2139,315
2140,5
2141,5
2142,5
2143,5
2144,5
2145,315
2146,315
2147,315
2148,315
2149,315
2150,808
2151,808
2152,808
2153,808
2154,56
2155,56
2156,56
2157,56
2158,56
2159,56
2160,56
2161,56
2162,808
2163,808
2164,808
2165,808
2166,5
2167,5
2168,5
2169,5
2170,5
2171,6
2172,6
2173,6
2174,6
2175,6
2176,6
2177,18
2178,18
2179,18
2180,18
2181,18
2182,18
2183,44
2184,44
2185,44
2186,44
2187,808
2188,808
2189,808
2190,808
2191,116
2192,116
2193,116
2194,116
2195,290
2196,290
2197,290
2198,290
2199,290
2200,808
2201,808
2202,808
2203,808
2204,808
2205,808
2206,808
2207,808
2208,315
2209,315
2210,315
2211,315
2212,315
2213,120
2214,120
2215,120
2216,120
2217,120
2218,120
2219,120
2220,120
2221,7
2222,7
2223,7
2224,7
2225,7
2226,7
2227,7
2228,100
2229,100
2230,100
2231,100
2232,100
2233,808
2234,808
2235,808
2236,808
2237,120
2238,120
2239,120
2240,120
2241,42
2242,42
2243,42
2244,42
2245,42
2246,42
2247,42
2248,315
2249,315
2250,315
2251,315
2252,315
2253,132
2254,132
2255,132
2256,132
2257,132
2258,132
2259,7
2260,7
2261,7
2262,7
2263,7
2264,7
2265,7
2266,315
2267,315
2268,315
2269,315
2270,315
2271,248
2272,248
2273,248
2274,248
2275,808
2276,808
2277,808
2278,808
2279,5
2280,5
2281,5
2282,5
2283,5
2284,808
2285,808
2286,808
2287,808
2288,6
2289,6
2290,6
2291,6
2292,6
2293,6
2294,45
2295,45
2296,45
2297,45
2298,45
2299,315
2300,315
2301,315
2302,315
2303,315
2304,808
2305,808
2306,808
2307,808
2308,20
2309,20
2310,20
2311,20
2312,20
2313,808
2314,808
2315,808
2316,808
2317,156
2318,156
2319,156
2320,156
2321,156
2322,156
2323,12
2324,12
2325,12
2326,12
2327,12
2328,12
2329,290
2330,290
2331,290
2332,290
2333,290
2334,8
2335,8
2336,8
2337,8
2338,156
2339,156
2340,156
2341,156
2342,156
2343,156
2344,116
2345,116
2346,116
2347,116
2348,808
2349,808
2350,808
2351,808
2352,808
2353,808
2354,808
2355,808
2356,132
2357,132
2358,132
2359,132
2360,132
2361,132
2362,6
2363,6
2364,6
2365,6
2366,6
2367,6
2368,108
2369,108
2370,108
2371,108
2372,108
2373,108
2374,14
2375,14
2376,14
2377,14
2378,14
2379,14
2380,14
2381,808
2382,808
2383,808
2384,808
2385,44
2386,44
2387,44
2388,44
2389,808
2390,808
2391,808
2392,808
2393,808
2394,808
2395,808
2396,808
2397,808
2398,808
2399,808
2400,808
2401,290
2402,290
2403,290
2404,290
2405,290
2406,808
2407,808
2408,808
2409,808
2410,156
2411,156
2412,156
2413,156
2414,156
2415,156
2416,6
2417,6
2418,6
2419,6
2420,6
2421,6
2422,156
2423,156
2424,156
2425,156
2426,156
2427,156
2428,80
2429,80
2430,80
2431,80
2432,5
2433,5
2434,5
2435,5
2436,5
2437,808
2438,808
2439,808
2440,808
2441,6
2442,6
2443,6
2444,6
2445,6
2446,6
2447,25
2448,25
2449,25
2450,25
2451,25
2452,100
2453,100
2454,100
2455,100
2456,100
2457,248
2458,248
2459,248
2460,248
2461,808
2462,808
2463,808
2464,808
2465,120
2466,120
2467,120
2468,120
2469,20
2470,20
2471,20
2472,20
2473,20
2474,42
2475,42
2476,42
2477,42
2478,42
2479,42
2480,42
2481,808
2482,808
2483,808
2484,808
2485,6
2486,6
2487,6
2488,6
2489,6
2490,6
2491,290
2492,290
2493,290
2494,290
2495,290
2496,290
2497,290
2498,290
2499,290
2500,290
2501,120
2502,120
2503,120
2504,120
2505,290
2506,290
2507,290
2508,290
2509,290
2510,80
2511,80
2512,80
2513,80
2514,808
2515,808
2516,808
2517,808
2518,16
2519,16
2520,16
2521,16
2522,248
2523,248
2524,248
2525,248
2526,40
2527,40
2528,40
2529,40
2530,40
2531,40
2532,40
2533,40
2534,5
2535,5
2536,5
2537,5
2538,5
2539,108
2540,108
2541,108
2542,108
2543,108
2544,108
2545,20
2546,20
2547,20
2548,20
2549,20
2550,85
2551,85
2552,85
2553,85
2554,85
2555,10
2556,10
2557,10
2558,10
2559,10
2560,7
2561,7
2562,7
2563,7
2564,7
2565,7
2566,7
2567,120
2568,120
2569,120
2570,120
2571,56
2572,56
2573,56
2574,56
2575,56
2576,56
2577,56
2578,56
2579,315
2580,315
2581,315
2582,315
2583,315
2584,808
2585,808
2586,808
2587,808
2588,808
2589,808
2590,808
2591,808
2592,116
2593,116
2594,116
2595,116
2596,105
2597,105
2598,105
2599,105
2600,105
2601,105
2602,105
2603,14
2604,14
2605,14
2606,14
2607,14
2608,14
2609,14
2610,808
2611,808
2612,808
2613,808
2614,808
2615,808
2616,808
2617,808
2618,808
2619,808
2620,808
2621,808
2622,6
2623,6
2624,6
2625,6
2626,6
2627,6
2628,44
2629,44
2630,44
2631,44
2632,120
2633,120
2634,120
2635,120
2636,808
2637,808
2638,808
2639,808
2640,105
2641,105
2642,105
2643,105
2644,105
2645,105
2646,105
2647,44
2648,44
2649,44
2650,44
2651,290
2652,290
2653,290
2654,290
2655,290
2656,120
2657,120
2658,120
2659,120
2660,808
2661,808
2662,808
2663,808
2664,248
2665,248
2666,248
2667,248
2668,12
2669,12
2670,12
2671,12
2672,12
2673,12
2674,132
2675,132
2676,132
2677,132
